Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Codes régions;Pays;Objectifs sur budget ventilé;Valeur
2011;Collectivités territoriales;1;Budget R&T;;Corse;R94;;Projets de la recherche publique (%);41.61
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Corse;R94;;Tous objectifs;0.77
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);Corse;R94;;Tous objectifs;1.01
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Corse;R94;;Tous objectifs;0.0
2011;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Corse;R94;;Tous objectifs;0.0
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Corse;R94;;Tous objectifs;0.0
2011;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Tous objectifs;17.51
2011;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Opérations immobilières;6.38
2011;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Equipement de laboratoires (%);0.91
2011;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Equipement de laboratoires;0.16
2011;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Projets de la recherche publique (%);10.85
2011;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Transferts de technologie (%);26.5
2011;Collectivités territoriales;1;Budget R&T;;Bourgogne-Franche-Comté;R27;;Réseaux haut débit (%);2.24
2011;Collectivités territoriales;0;Budget R&T;;Bourgogne-Franche-Comté;R27;;Réseaux haut débit;0.39
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Bourgogne-Franche-Comté;R27;;Tous objectifs;1.05
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bourgogne-Franche-Comté;R27;;Tous objectifs;2.2
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bourgogne-Franche-Comté;R27;;Tous objectifs;0.26
2011;Collectivités territoriales;1;Budget R&T;;Normandie;R28;;Projets de la recherche publique (%);13.53
2011;Collectivités territoriales;0;Budget R&T;;Normandie;R28;;Projets de la recherche publique;3.66
2011;Conseils régionaux;0;Budget R&T;;Normandie;R28;;Tous objectifs;16.52
2011;Conseils départementaux;0;Budget R&T;;Normandie;R28;;Tous objectifs;0.2
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Normandie;R28;;Tous objectifs;3.99
2011;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Normandie;R28;;Tous objectifs;24.16
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Normandie;R28;;Tous objectifs;1.81
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Normandie;R28;;Tous objectifs;0.1
2011;Collectivités territoriales;1;Budget R&T;;Île-de-France;R11;;Opérations immobilières (%);17.33
2011;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Opérations immobilières;34.21
2011;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Equipement de laboratoires;11.89
2011;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Projets de la recherche publique;61.89
2011;Collectivités territoriales;0;Budget R&T;;Île-de-France;R11;;Transferts de technologie;78.8
2011;Collectivités territoriales;1;Budget R&T;;Île-de-France;R11;;Réseaux haut débit (%);0.11
2011;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Equipement de laboratoires (%);8.9
2011;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Projets de la recherche publique;0.08
2011;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Transferts de technologie (%);53.37
2011;Collectivités territoriales;1;Budget R&T;;Occitanie;R76;;Culture et information scientifique (%);1.44
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Occitanie;R76;;Tous objectifs;2.72
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);Occitanie;R76;;Tous objectifs;2.01
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Occitanie;R76;;Tous objectifs;0.0
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Occitanie;R76;;Tous objectifs;2.52
2011;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Equipement de laboratoires (%);17.77
2011;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Equipement de laboratoires;2.09
2011;Collectivités territoriales;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Projets de la recherche publique;0.35
2011;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Transferts de technologie (%);42.02
2011;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Réseaux haut débit (%);2.57
2011;Collectivités territoriales;1;Budget R&T;;Nouvelle-Aquitaine;R75;;Culture et information scientifique (%);0.26
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Nouvelle-Aquitaine;R75;;Tous objectifs;14.78
2011;Conseils départementaux;0;Budget R&T;;Nouvelle-Aquitaine;R75;;Tous objectifs;0.03
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Nouvelle-Aquitaine;R75;;Tous objectifs;0.07
2011;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Tous objectifs;24.99
2011;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Equipement de laboratoires;5.5
2011;Collectivités territoriales;1;Budget R&T;;Grand Est;R44;;Transferts de technologie (%);25.03
2011;Collectivités territoriales;0;Budget R&T;;Grand Est;R44;;Réseaux haut débit;0.5
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;R44;;Tous objectifs;5.46
2011;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Opérations immobilières;17.59
2011;Collectivités territoriales;0;Budget R&T;;Occitanie;R76;;Culture et information scientifique;1.01
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Occitanie;R76;;Tous objectifs;2.88
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Occitanie;R76;;Tous objectifs;7.98
2011;Conseils départementaux;0;Budget R&T;;Occitanie;R76;;Tous objectifs;1.99
2011;Communes et EPCI;0;Budget R&T;;Occitanie;R76;;Tous objectifs;8.59
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Occitanie;R76;;Tous objectifs;14.6
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Occitanie;R76;;Tous objectifs;3.37
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Occitanie;R76;;Tous objectifs;3.16
2011;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Tous objectifs;47.25
2011;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Opérations immobilières (%);17.63
2011;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Aides aux chercheurs (%);9.14
2011;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Aides aux chercheurs;4.32
2011;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Culture et information scientifique;4.23
2011;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Budget non ventilé (%);0.0
2011;Communes et EPCI;0;Budget R&T;;Hauts-de-France;R32;;Tous objectifs;10.19
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre du CPER;;Hauts-de-France;R32;;Tous objectifs;12.83
2011;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Hauts-de-France;R32;;Tous objectifs;11.66
2011;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Opérations immobilières (%);32.28
2011;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Equipement de laboratoires (%);12.17
2011;Collectivités territoriales;0;Budget R&T;;Pays de la Loire;R52;;Equipement de laboratoires;13.18
2011;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Projets de la recherche publique (%);13.43
2011;Collectivités territoriales;1;Budget R&T;;Pays de la Loire;R52;;Transferts de technologie (%);26.24
2011;Collectivités territoriales;0;Budget R&T;;Pays de la Loire;R52;;Transferts de technologie;28.42
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Pays de la Loire;R52;;Tous objectifs;24.31
2011;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Pays de la Loire;R52;;Tous objectifs;33.11
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Pays de la Loire;R52;;Tous objectifs;3.13
2011;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Pays de la Loire;R52;;Tous objectifs;29.53
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Pays de la Loire;R52;;Tous objectifs;0.66
2011;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;R32;;Projets de la recherche publique (%);7.44
2011;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Aides aux chercheurs;3.02
2011;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;R32;;Réseaux haut débit;0.66
2008;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);Mayotte;R06;;Tous objectifs;0.0
2008;Communes et EPCI;0;Budget R&T;;Mayotte;R06;;Tous objectifs;0.0
2008;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Mayotte;R06;;Tous objectifs;0.0
2008;Collectivités territoriales;1;Budget R&T;;La Réunion;R04;;Opérations immobilières (%);10.27
2008;Collectivités territoriales;1;Budget R&T;;La Réunion;R04;;Transferts de technologie (%);8.26
2008;Collectivités territoriales;0;Budget R&T;;La Réunion;R04;;Culture et information scientifique;0.18
2008;Collectivités territoriales;1;Budget R&T;;La Réunion;R04;;Budget non ventilé (%);0.0
2008;Collectivités territoriales;0;Budget R&T;;La Réunion;R04;;Budget non ventilé;0.0
2008;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);La Réunion;R04;;Tous objectifs;0.89
2008;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;La Réunion;R04;;Tous objectifs;1.13
2008;Collectivités territoriales;1;Budget R&T réalisé dans le cadre du CPER;;La Réunion;R04;;Tous objectifs;15.1
2008;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;La Réunion;R04;;Tous objectifs;0.0
2008;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;La Réunion;R04;;Tous objectifs;0.0
2008;Collectivités territoriales;1;Budget R&T;;Polynésie française;A41;;Transferts de technologie (%);0.0
2008;Collectivités territoriales;0;Budget R&T;;Polynésie française;A41;;Culture et information scientifique;0.0
2008;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Polynésie française;A41;;Tous objectifs;0.0
2008;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Polynésie française;A41;;Tous objectifs;0.0
2008;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Polynésie française;A41;;Tous objectifs;0.0
2008;Collectivités territoriales;0;Budget R&T;;Nouvelle-Calédonie;A40;;Tous objectifs;10.61
2008;Collectivités territoriales;0;Budget R&T;;Nouvelle-Calédonie;A40;;Opérations immobilières;4.14
2008;Collectivités territoriales;0;Budget R&T;;Nouvelle-Calédonie;A40;;Equipement de laboratoires;0.0
2008;Collectivités territoriales;0;Budget R&T;;Nouvelle-Calédonie;A40;;Réseaux haut débit;0.0
2008;Conseils régionaux;0;Budget R&T;;Nouvelle-Calédonie;A40;;Tous objectifs;2.22
2008;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Nouvelle-Calédonie;A40;;Tous objectifs;0.0
2008;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Nouvelle-Calédonie;A40;;Tous objectifs;0.0
2008;Collectivités territoriales;1;Budget R&T;;;XXX;France;Réseaux haut débit (%);3.43
2008;Collectivités territoriales;1;Budget R&T;;;XXX;France;Culture et information scientifique (%);3.31
2008;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;;XXX;France;Tous objectifs;100.0
2011;Conseils régionaux;0;Budget R&T;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;80.83
2011;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part du budget de R&T des conseils régionaux dans les dépenses totales des col. Ter.(en %);Auvergne-Rhône-Alpes;R84;;Tous objectifs;3.62
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Auvergne-Rhône-Alpes;R84;;Tous objectifs;27.66
2011;Collectivités territoriales;0;Budget R&T;;Guadeloupe;R01;;Opérations immobilières;0.05
2011;Collectivités territoriales;1;Budget R&T;;Guadeloupe;R01;;Aides aux chercheurs (%);56.15
2011;Collectivités territoriales;0;Budget R&T;;Guadeloupe;R01;;Aides aux chercheurs;0.82
2011;Collectivités territoriales;1;Budget R&T;;Guadeloupe;R01;;Réseaux haut débit (%);0.0
2011;Collectivités territoriales;0;Budget R&T;;Guadeloupe;R01;;Culture et information scientifique;0.04
2011;Collectivités territoriales;1;Budget R&T;;Guadeloupe;R01;;Budget non ventilé (%);0.0
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Guadeloupe;R01;;Tous objectifs;0.0
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Guadeloupe;R01;;Tous objectifs;0.0
2011;Collectivités territoriales;0;Budget R&T;;Guyane;R03;;Opérations immobilières;0.9
2011;Collectivités territoriales;0;Budget R&T;;Guyane;R03;;Transferts de technologie;0.57
2011;Collectivités territoriales;1;Budget R&T;;Guyane;R03;;Réseaux haut débit (%);0.0
2011;Collectivités territoriales;0;Budget R&T;;Guyane;R03;;Réseaux haut débit;0.0
2011;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Guyane;R03;;Tous objectifs;46.88
2011;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Guyane;R03;;Tous objectifs;0.0
2011;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Guyane;R03;;Tous objectifs;0.0
2011;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Guyane;R03;;Tous objectifs;0.0
